"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"buatlah suasana kelas lebih ceria","55526","136","90001871","20162","3","3","4","2","3","1","1","4","4","2","289"
"mohon saat menyampaikan materi urut supaya mudah memahaminya","55635","180","90001980","20162","3","3","3","3","3","3","3","3","3","3","289"
"tingkatkan agar kualitas kuliahnya meningkat","55669","251","90001836","20162","3","3","3","2","3","2","2","1","3","3","289"
"teruslah mengajar dengan model seperti ini buk, karena bisa memberi kami semangat untuk belajar","55684","243","90001795","20162","4","4","4","4","3","2","3","4","4","4","289"
"jangan terlallu cepat menjelaskannya","55690","243","90001795","20162","3","3","4","4","4","2","4","3","3","3","289"
"jangan terlallu cepat menjelaskannya","55691","243","90001795","20162","3","3","4","4","4","2","4","3","3","3","289"
"kalo bisa sering mengadakan quiz atau latihan soal dikelas","55692","243","90001795","20162","4","4","4","4","4","4","3","4","4","3","289"
"tugas yang sudah dikoreksi mohon dikembalikan karena untuk belajar dirumah","55693","243","90001795","20162","4","4","4","4","2","2","3","4","4","3","289"
"kami butuh penjelasan dalam penerapan bukan materi semata, agar kami dapat memahami dengan baik","55714","121","90001897","20162","3","3","2","3","4","2","2","1","2","2","289"
"jangan sering gak masuk bu","55734","121","90001878","20162","3","3","3","3","3","1","2","3","3","3","289"
